,date,varname,value,participant,asset_type,asset_or_liability
23,1945-10-01,"Monetary authority; other Treasury securities, excluding Treasury bills; asset",3067.0,monetary_authority,other_treasury_securities_excluding_treasury_bills,asset
24,1945-10-01,U.S.-chartered depository institutions; Treasury securities; asset,103721.0,u.s.-chartered_depository_institutions,treasury_securities,asset
25,1945-10-01,Foreign banking offices in the U.S.; Treasury securities; asset,236.0,foreign_banking_offices_in_the_u.s.,treasury_securities,asset
26,1945-10-01,Banks in U.S.-affiliated areas; Treasury securities; asset,599.0,banks_in_u.s.-affiliated_areas,treasury_securities,asset
27,1945-10-01,Credit unions; Treasury securities; asset,50.0,credit_unions,treasury_securities,asset
28,1945-10-01,"Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset",2700.0,property-casualty_insurance_companies,treasury_securities_including_those_held_by_u.s._residual_market_reinsurers,asset
29,1945-10-01,"Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset",0.0,property-casualty_insurance_companies,treasury_bills_including_those_held_by_u.s._residual_market_reinsurers,asset
30,1945-10-01,"Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset",2700.0,property-casualty_insurance_companies,other_treasury_securities_including_those_held_by_u.s._residual_market_reinsurers_excluding_treasury_bills,asset
31,1945-10-01,Life insurance companies; Treasury securities; asset,20589.0,life_insurance_companies,treasury_securities,asset
32,1945-10-01,"Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset",0.0,life_insurance_companies,treasury_bills_including_those_held_by_u.s._captive_reinsurers,asset
33,1945-10-01,"Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset",20589.0,life_insurance_companies,other_treasury_securities_including_those_held_by_u.s._captive_reinsurers_excluding_treasury_bills,asset
34,1945-10-01,Private pension funds; Treasury securities; asset,2051.0,private_pension_funds,treasury_securities,asset
35,1945-10-01,Private defined benefit pension funds; Treasury securities; asset,1538.0,private_defined_benefit_pension_funds,treasury_securities,asset
36,1945-10-01,Private defined contribution pension funds; Treasury securities; asset,513.0,private_defined_contribution_pension_funds,treasury_securities,asset
37,1945-10-01,Federal government retirement funds; Treasury securities; asset,2903.0,federal_government_retirement_funds,treasury_securities,asset
38,1945-10-01,Federal government defined benefit retirement funds; Treasury securities; asset,2903.0,federal_government_defined_benefit_retirement_funds,treasury_securities,asset
39,1945-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan,asset
40,1945-10-01,State and local government employee defined benefit retirement funds; Treasury securities; asset,1519.0,state_and_local_government_employee_defined_benefit_retirement_funds,treasury_securities,asset
41,1945-10-01,Money market funds; Treasury securities; asset,0.0,money_market_funds,treasury_securities,asset
42,1945-10-01,Money market funds; Treasury bills; asset,0.0,money_market_funds,treasury_bills,asset
43,1945-10-01,"Money market funds; Other Treasury securities, excluding Treasury bills; asset",0.0,money_market_funds,other_treasury_securities_excluding_treasury_bills,asset
44,1945-10-01,Mutual funds; Treasury securities; asset (market value),36.0,mutual_funds,treasury_securities,asset_(market_value)
45,1945-10-01,Mutual funds; Treasury bills; asset,0.0,mutual_funds,treasury_bills,asset
46,1945-10-01,"Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset",36.0,mutual_funds,other_treasury_securities_excluding_treasury_bills_(includes_all_treasury_securities_before_2010:q4),asset
47,1945-10-01,Closed-end funds; Treasury securities; asset,49.0,closed-end_funds,treasury_securities,asset
48,1945-10-01,Exchange-traded funds; Treasury securities; asset,0.0,exchange-traded_funds,treasury_securities,asset
49,1945-10-01,Government-sponsored enterprises; Treasury securities; asset,351.0,government-sponsored_enterprises,treasury_securities,asset
50,1945-10-01,Issuers of asset-backed securities; Treasury securities; asset,0.0,issuers_of_asset-backed_securities,treasury_securities,asset
51,1945-10-01,Security brokers and dealers; Treasury securities (net); asset,1881.0,security_brokers_and_dealers,treasury_securities_(net),asset
52,1945-10-01,Holding companies; Treasury securities; asset,0.0,holding_companies,treasury_securities,asset
53,1945-10-01,Other financial business; Treasury securities; asset,0.0,other_financial_business,treasury_securities,asset
54,1945-10-01,Rest of the world; Treasury securities; asset,2574.0,rest_of_the_world,treasury_securities,asset
55,1945-10-01,Rest of the world; Treasury bills and certificates; asset,0.0,rest_of_the_world,treasury_bills_and_certificates,asset
56,1945-10-01,"Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset",2574.0,rest_of_the_world,other_treasury_securities_excluding_treasury_bills_and_certificates,asset
57,1945-10-01,Instrument discrepancies; Treasury securities (level),0.0,,,
58,1946-10-01,Federal government; Treasury securities; liability,231201.0,federal_government,treasury_securities,liability
59,1946-10-01,Federal government; marketable Treasury securities; liability,183777.0,federal_government,marketable_treasury_securities,liability
60,1946-10-01,Federal government; Treasury bills; liability,47020.0,federal_government,treasury_bills,liability
61,1946-10-01,Federal government; other marketable Treasury securities; liability,136757.0,federal_government,other_marketable_treasury_securities,liability
62,1946-10-01,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,0.0,federal_government,long-term_marketable_treasury_securities_issued_to_the_civil_service_retirement_fund_through_the_federal_financing_bank,liability
63,1946-10-01,Federal government; nonmarketable Treasury securities; liability,47424.0,federal_government,nonmarketable_treasury_securities,liability
64,1946-10-01,Federal government; U.S. savings securities; liability,44151.0,federal_government,u.s._savings_securities,liability
65,1946-10-01,State and local governments; State and local government series securities (SLGS); asset,0.0,state_and_local_governments,state_and_local_government_series_securities_(slgs),asset
66,1946-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan_g_fund,asset
67,1946-10-01,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,3273.0,federal_government_defined_benefit_retirement_funds,nonmarketable_treasury_securities,asset
68,1946-10-01,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset ,0.0,other_financial_business,nonmarketable_treasury_securities_held_by_federal_reserve_credit_facility_llcs,asset
69,1946-10-01,Federal government; other nonmarketable Treasury securities; liability,0.0,federal_government,other_nonmarketable_treasury_securities,liability
70,1946-10-01,All sectors; Treasury securities; asset,231201.0,all_sectors,treasury_securities,asset
71,1946-10-01,Households and nonprofit organizations; Treasury securities; asset,65127.0,households_and_nonprofit_organizations,treasury_securities,asset
72,1946-10-01,Z1/Z1/FL313161400.Q.1,44151.0,,,
73,1946-10-01,"Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset",20976.0,households_and_nonprofit_organizations,treasury_securities_excluding_u.s._savings_securities,asset
74,1946-10-01,Nonfinancial corporate business; Treasury securities; asset,12779.0,nonfinancial_corporate_business,treasury_securities,asset
75,1946-10-01,Nonfinancial noncorporate business; total U.S. government securities; asset,0.0,nonfinancial_noncorporate_business,total_u.s._government_securities,asset
76,1946-10-01,"State and local governments; Treasury securities, including SLGS; asset",5179.0,state_and_local_governments,treasury_securities_including_slgs,asset
77,1946-10-01,Z1/Z1/FL213061120.Q.1,0.0,,,
78,1946-10-01,"State and local governments; Treasury securities, excluding SLGS; asset",5179.0,state_and_local_governments,treasury_securities_excluding_slgs,asset
79,1946-10-01,Monetary authority; total Treasury securities; asset,23350.0,monetary_authority,total_treasury_securities,asset
80,1946-10-01,Monetary authority; Treasury bills; asset,22241.0,monetary_authority,treasury_bills,asset
81,1946-10-01,"Monetary authority; other Treasury securities, excluding Treasury bills; asset",1109.0,monetary_authority,other_treasury_securities_excluding_treasury_bills,asset
82,1946-10-01,U.S.-chartered depository institutions; Treasury securities; asset,88563.0,u.s.-chartered_depository_institutions,treasury_securities,asset
83,1946-10-01,Foreign banking offices in the U.S.; Treasury securities; asset,192.0,foreign_banking_offices_in_the_u.s.,treasury_securities,asset
84,1946-10-01,Banks in U.S.-affiliated areas; Treasury securities; asset,534.0,banks_in_u.s.-affiliated_areas,treasury_securities,asset
85,1946-10-01,Credit unions; Treasury securities; asset,50.0,credit_unions,treasury_securities,asset
86,1946-10-01,"Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset",3294.0,property-casualty_insurance_companies,treasury_securities_including_those_held_by_u.s._residual_market_reinsurers,asset
87,1946-10-01,"Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset",0.0,property-casualty_insurance_companies,treasury_bills_including_those_held_by_u.s._residual_market_reinsurers,asset
88,1946-10-01,"Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset",3294.0,property-casualty_insurance_companies,other_treasury_securities_including_those_held_by_u.s._residual_market_reinsurers_excluding_treasury_bills,asset
89,1946-10-01,Life insurance companies; Treasury securities; asset,21635.0,life_insurance_companies,treasury_securities,asset
90,1946-10-01,"Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset",0.0,life_insurance_companies,treasury_bills_including_those_held_by_u.s._captive_reinsurers,asset
91,1946-10-01,"Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset",21635.0,life_insurance_companies,other_treasury_securities_including_those_held_by_u.s._captive_reinsurers_excluding_treasury_bills,asset
92,1946-10-01,Private pension funds; Treasury securities; asset,2100.0,private_pension_funds,treasury_securities,asset
93,1946-10-01,Private defined benefit pension funds; Treasury securities; asset,1575.0,private_defined_benefit_pension_funds,treasury_securities,asset
94,1946-10-01,Private defined contribution pension funds; Treasury securities; asset,525.0,private_defined_contribution_pension_funds,treasury_securities,asset
95,1946-10-01,Federal government retirement funds; Treasury securities; asset,3273.0,federal_government_retirement_funds,treasury_securities,asset
96,1946-10-01,Federal government defined benefit retirement funds; Treasury securities; asset,3273.0,federal_government_defined_benefit_retirement_funds,treasury_securities,asset
97,1946-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan,asset
98,1946-10-01,State and local government employee defined benefit retirement funds; Treasury securities; asset,1671.0,state_and_local_government_employee_defined_benefit_retirement_funds,treasury_securities,asset
99,1946-10-01,Money market funds; Treasury securities; asset,0.0,money_market_funds,treasury_securities,asset
100,1946-10-01,Money market funds; Treasury bills; asset,0.0,money_market_funds,treasury_bills,asset
101,1946-10-01,"Money market funds; Other Treasury securities, excluding Treasury bills; asset",0.0,money_market_funds,other_treasury_securities_excluding_treasury_bills,asset
102,1946-10-01,Mutual funds; Treasury securities; asset (market value),31.0,mutual_funds,treasury_securities,asset_(market_value)
103,1946-10-01,Mutual funds; Treasury bills; asset,0.0,mutual_funds,treasury_bills,asset
104,1946-10-01,"Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset",31.0,mutual_funds,other_treasury_securities_excluding_treasury_bills_(includes_all_treasury_securities_before_2010:q4),asset
105,1946-10-01,Closed-end funds; Treasury securities; asset,50.0,closed-end_funds,treasury_securities,asset
106,1946-10-01,Exchange-traded funds; Treasury securities; asset,0.0,exchange-traded_funds,treasury_securities,asset
107,1946-10-01,Government-sponsored enterprises; Treasury securities; asset,356.0,government-sponsored_enterprises,treasury_securities,asset
108,1946-10-01,Issuers of asset-backed securities; Treasury securities; asset,0.0,issuers_of_asset-backed_securities,treasury_securities,asset
109,1946-10-01,Security brokers and dealers; Treasury securities (net); asset,917.0,security_brokers_and_dealers,treasury_securities_(net),asset
110,1946-10-01,Holding companies; Treasury securities; asset,0.0,holding_companies,treasury_securities,asset
111,1946-10-01,Other financial business; Treasury securities; asset,0.0,other_financial_business,treasury_securities,asset
112,1946-10-01,Rest of the world; Treasury securities; asset,2100.0,rest_of_the_world,treasury_securities,asset
113,1946-10-01,Rest of the world; Treasury bills and certificates; asset,0.0,rest_of_the_world,treasury_bills_and_certificates,asset
114,1946-10-01,"Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset",2100.0,rest_of_the_world,other_treasury_securities_excluding_treasury_bills_and_certificates,asset
115,1946-10-01,Instrument discrepancies; Treasury securities (level),0.0,,,
116,1947-10-01,Federal government; Treasury securities; liability,224830.0,federal_government,treasury_securities,liability
117,1947-10-01,Federal government; marketable Treasury securities; liability,174498.0,federal_government,marketable_treasury_securities,liability
118,1947-10-01,Federal government; Treasury bills; liability,36356.0,federal_government,treasury_bills,liability
119,1947-10-01,Federal government; other marketable Treasury securities; liability,138142.0,federal_government,other_marketable_treasury_securities,liability
120,1947-10-01,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,0.0,federal_government,long-term_marketable_treasury_securities_issued_to_the_civil_service_retirement_fund_through_the_federal_financing_bank,liability
121,1947-10-01,Federal government; nonmarketable Treasury securities; liability,50332.0,federal_government,nonmarketable_treasury_securities,liability
122,1947-10-01,Federal government; U.S. savings securities; liability,46236.0,federal_government,u.s._savings_securities,liability
123,1947-10-01,State and local governments; State and local government series securities (SLGS); asset,0.0,state_and_local_governments,state_and_local_government_series_securities_(slgs),asset
124,1947-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan_g_fund,asset
125,1947-10-01,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,4096.0,federal_government_defined_benefit_retirement_funds,nonmarketable_treasury_securities,asset
126,1947-10-01,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset ,0.0,other_financial_business,nonmarketable_treasury_securities_held_by_federal_reserve_credit_facility_llcs,asset
127,1947-10-01,Federal government; other nonmarketable Treasury securities; liability,0.0,federal_government,other_nonmarketable_treasury_securities,liability
128,1947-10-01,All sectors; Treasury securities; asset,224830.0,all_sectors,treasury_securities,asset
129,1947-10-01,Households and nonprofit organizations; Treasury securities; asset,65065.0,households_and_nonprofit_organizations,treasury_securities,asset
130,1947-10-01,Z1/Z1/FL313161400.Q.1,46236.0,,,
131,1947-10-01,"Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset",18829.0,households_and_nonprofit_organizations,treasury_securities_excluding_u.s._savings_securities,asset
132,1947-10-01,Nonfinancial corporate business; Treasury securities; asset,12291.0,nonfinancial_corporate_business,treasury_securities,asset
133,1947-10-01,Nonfinancial noncorporate business; total U.S. government securities; asset,0.0,nonfinancial_noncorporate_business,total_u.s._government_securities,asset
134,1947-10-01,"State and local governments; Treasury securities, including SLGS; asset",5890.0,state_and_local_governments,treasury_securities_including_slgs,asset
135,1947-10-01,Z1/Z1/FL213061120.Q.1,0.0,,,
136,1947-10-01,"State and local governments; Treasury securities, excluding SLGS; asset",5890.0,state_and_local_governments,treasury_securities_excluding_slgs,asset
137,1947-10-01,Monetary authority; total Treasury securities; asset,22559.0,monetary_authority,total_treasury_securities,asset
138,1947-10-01,Monetary authority; Treasury bills; asset,18230.0,monetary_authority,treasury_bills,asset
139,1947-10-01,"Monetary authority; other Treasury securities, excluding Treasury bills; asset",4329.0,monetary_authority,other_treasury_securities_excluding_treasury_bills,asset
140,1947-10-01,U.S.-chartered depository institutions; Treasury securities; asset,82927.0,u.s.-chartered_depository_institutions,treasury_securities,asset
141,1947-10-01,Foreign banking offices in the U.S.; Treasury securities; asset,168.0,foreign_banking_offices_in_the_u.s.,treasury_securities,asset
142,1947-10-01,Banks in U.S.-affiliated areas; Treasury securities; asset,438.0,banks_in_u.s.-affiliated_areas,treasury_securities,asset
143,1947-10-01,Credit unions; Treasury securities; asset,65.0,credit_unions,treasury_securities,asset
144,1947-10-01,"Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset",3885.0,property-casualty_insurance_companies,treasury_securities_including_those_held_by_u.s._residual_market_reinsurers,asset
145,1947-10-01,"Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset",0.0,property-casualty_insurance_companies,treasury_bills_including_those_held_by_u.s._residual_market_reinsurers,asset
146,1947-10-01,"Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset",3885.0,property-casualty_insurance_companies,other_treasury_securities_including_those_held_by_u.s._residual_market_reinsurers_excluding_treasury_bills,asset
147,1947-10-01,Life insurance companies; Treasury securities; asset,20040.0,life_insurance_companies,treasury_securities,asset
148,1947-10-01,"Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset",0.0,life_insurance_companies,treasury_bills_including_those_held_by_u.s._captive_reinsurers,asset
149,1947-10-01,"Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset",20040.0,life_insurance_companies,other_treasury_securities_including_those_held_by_u.s._captive_reinsurers_excluding_treasury_bills,asset
150,1947-10-01,Private pension funds; Treasury securities; asset,2151.0,private_pension_funds,treasury_securities,asset
151,1947-10-01,Private defined benefit pension funds; Treasury securities; asset,1613.0,private_defined_benefit_pension_funds,treasury_securities,asset
152,1947-10-01,Private defined contribution pension funds; Treasury securities; asset,538.0,private_defined_contribution_pension_funds,treasury_securities,asset
153,1947-10-01,Federal government retirement funds; Treasury securities; asset,4096.0,federal_government_retirement_funds,treasury_securities,asset
154,1947-10-01,Federal government defined benefit retirement funds; Treasury securities; asset,4096.0,federal_government_defined_benefit_retirement_funds,treasury_securities,asset
155,1947-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan,asset
156,1947-10-01,State and local government employee defined benefit retirement funds; Treasury securities; asset,1860.0,state_and_local_government_employee_defined_benefit_retirement_funds,treasury_securities,asset
157,1947-10-01,Money market funds; Treasury securities; asset,0.0,money_market_funds,treasury_securities,asset
158,1947-10-01,Money market funds; Treasury bills; asset,0.0,money_market_funds,treasury_bills,asset
159,1947-10-01,"Money market funds; Other Treasury securities, excluding Treasury bills; asset",0.0,money_market_funds,other_treasury_securities_excluding_treasury_bills,asset
160,1947-10-01,Mutual funds; Treasury securities; asset (market value),43.0,mutual_funds,treasury_securities,asset_(market_value)
161,1947-10-01,Mutual funds; Treasury bills; asset,0.0,mutual_funds,treasury_bills,asset
162,1947-10-01,"Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset",43.0,mutual_funds,other_treasury_securities_excluding_treasury_bills_(includes_all_treasury_securities_before_2010:q4),asset
163,1947-10-01,Closed-end funds; Treasury securities; asset,65.0,closed-end_funds,treasury_securities,asset
164,1947-10-01,Exchange-traded funds; Treasury securities; asset,0.0,exchange-traded_funds,treasury_securities,asset
165,1947-10-01,Government-sponsored enterprises; Treasury securities; asset,325.0,government-sponsored_enterprises,treasury_securities,asset
166,1947-10-01,Issuers of asset-backed securities; Treasury securities; asset,0.0,issuers_of_asset-backed_securities,treasury_securities,asset
167,1947-10-01,Security brokers and dealers; Treasury securities (net); asset,262.0,security_brokers_and_dealers,treasury_securities_(net),asset
168,1947-10-01,Holding companies; Treasury securities; asset,0.0,holding_companies,treasury_securities,asset
169,1947-10-01,Other financial business; Treasury securities; asset,0.0,other_financial_business,treasury_securities,asset
170,1947-10-01,Rest of the world; Treasury securities; asset,2700.0,rest_of_the_world,treasury_securities,asset
171,1947-10-01,Rest of the world; Treasury bills and certificates; asset,0.0,rest_of_the_world,treasury_bills_and_certificates,asset
172,1947-10-01,"Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset",2700.0,rest_of_the_world,other_treasury_securities_excluding_treasury_bills_and_certificates,asset
173,1947-10-01,Instrument discrepancies; Treasury securities (level),0.0,,,
174,1948-10-01,Federal government; Treasury securities; liability,219097.0,federal_government,treasury_securities,liability
175,1948-10-01,Federal government; marketable Treasury securities; liability,166341.0,federal_government,marketable_treasury_securities,liability
176,1948-10-01,Federal government; Treasury bills; liability,38749.0,federal_government,treasury_bills,liability
177,1948-10-01,Federal government; other marketable Treasury securities; liability,127592.0,federal_government,other_marketable_treasury_securities,liability
178,1948-10-01,Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability,0.0,federal_government,long-term_marketable_treasury_securities_issued_to_the_civil_service_retirement_fund_through_the_federal_financing_bank,liability
179,1948-10-01,Federal government; nonmarketable Treasury securities; liability,52756.0,federal_government,nonmarketable_treasury_securities,liability
180,1948-10-01,Federal government; U.S. savings securities; liability,47837.0,federal_government,u.s._savings_securities,liability
181,1948-10-01,State and local governments; State and local government series securities (SLGS); asset,0.0,state_and_local_governments,state_and_local_government_series_securities_(slgs),asset
182,1948-10-01,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset,0.0,federal_government_defined_contribution_retirement_funds,treasury_securities_held_by_thrift_savings_plan_g_fund,asset
183,1948-10-01,Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset,4919.0,federal_government_defined_benefit_retirement_funds,nonmarketable_treasury_securities,asset
184,1948-10-01,Other financial business; nonmarketable Treasury securities held by Federal Reserve credit facility LLCs; asset ,0.0,other_financial_business,nonmarketable_treasury_securities_held_by_federal_reserve_credit_facility_llcs,asset
185,1948-10-01,Federal government; other nonmarketable Treasury securities; liability,0.0,federal_government,other_nonmarketable_treasury_securities,liability
186,1948-10-01,All sectors; Treasury securities; asset,219097.0,all_sectors,treasury_securities,asset
187,1948-10-01,Households and nonprofit organizations; Treasury securities; asset,65817.0,households_and_nonprofit_organizations,treasury_securities,asset
188,1948-10-01,Z1/Z1/FL313161400.Q.1,47837.0,,,
189,1948-10-01,"Households and nonprofit organizations; Treasury securities, excluding U.S. savings securities; asset",17980.0,households_and_nonprofit_organizations,treasury_securities_excluding_u.s._savings_securities,asset
190,1948-10-01,Nonfinancial corporate business; Treasury securities; asset,12853.0,nonfinancial_corporate_business,treasury_securities,asset
191,1948-10-01,Nonfinancial noncorporate business; total U.S. government securities; asset,0.0,nonfinancial_noncorporate_business,total_u.s._government_securities,asset
192,1948-10-01,"State and local governments; Treasury securities, including SLGS; asset",6277.0,state_and_local_governments,treasury_securities_including_slgs,asset
193,1948-10-01,Z1/Z1/FL213061120.Q.1,0.0,,,
194,1948-10-01,"State and local governments; Treasury securities, excluding SLGS; asset",6277.0,state_and_local_governments,treasury_securities_excluding_slgs,asset
195,1948-10-01,Monetary authority; total Treasury securities; asset,23333.0,monetary_authority,total_treasury_securities,asset
196,1948-10-01,Monetary authority; Treasury bills; asset,11565.0,monetary_authority,treasury_bills,asset
197,1948-10-01,"Monetary authority; other Treasury securities, excluding Treasury bills; asset",11768.0,monetary_authority,other_treasury_securities_excluding_treasury_bills,asset
198,1948-10-01,U.S.-chartered depository institutions; Treasury securities; asset,75561.0,u.s.-chartered_depository_institutions,treasury_securities,asset
199,1948-10-01,Foreign banking offices in the U.S.; Treasury securities; asset,191.0,foreign_banking_offices_in_the_u.s.,treasury_securities,asset
200,1948-10-01,Banks in U.S.-affiliated areas; Treasury securities; asset,365.0,banks_in_u.s.-affiliated_areas,treasury_securities,asset
201,1948-10-01,Credit unions; Treasury securities; asset,75.0,credit_unions,treasury_securities,asset
202,1948-10-01,"Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset",4413.0,property-casualty_insurance_companies,treasury_securities_including_those_held_by_u.s._residual_market_reinsurers,asset
203,1948-10-01,"Property-casualty insurance companies; Treasury bills, including those held by U.S. residual market reinsurers; asset",0.0,property-casualty_insurance_companies,treasury_bills_including_those_held_by_u.s._residual_market_reinsurers,asset
204,1948-10-01,"Property-casualty insurance companies; other Treasury securities, including those held by U.S. residual market reinsurers, excluding Treasury bills; asset",4413.0,property-casualty_insurance_companies,other_treasury_securities_including_those_held_by_u.s._residual_market_reinsurers_excluding_treasury_bills,asset
205,1948-10-01,Life insurance companies; Treasury securities; asset,16812.0,life_insurance_companies,treasury_securities,asset
206,1948-10-01,"Life insurance companies; Treasury bills, including those held by U.S. captive reinsurers; asset",0.0,life_insurance_companies,treasury_bills_including_those_held_by_u.s._captive_reinsurers,asset
207,1948-10-01,"Life insurance companies; other Treasury securities, including those held by U.S. captive reinsurers, excluding Treasury bills; asset",16812.0,life_insurance_companies,other_treasury_securities_including_those_held_by_u.s._captive_reinsurers_excluding_treasury_bills,asset
208,1948-10-01,Private pension funds; Treasury securities; asset,2200.0,private_pension_funds,treasury_securities,asset
209,1948-10-01,Private defined benefit pension funds; Treasury securities; asset,1650.0,private_defined_benefit_pension_funds,treasury_securities,asset
210,1948-10-01,Private defined contribution pension funds; Treasury securities; asset,550.0,private_defined_contribution_pension_funds,treasury_securities,asset
211,1948-10-01,Federal government retirement funds; Treasury securities; asset,4919.0,federal_government_retirement_funds,treasury_securities,asset
212,1948-10-01,Federal government defined benefit retirement funds; Treasury securities; asset,4919.0,federal_government_defined_benefit_retirement_funds,treasury_securities,asset
